

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
612	399	408	419
613	300	309	320
614	943	952	962
615	89	108	98
616	962	971	981
617	367	376	386
618	616	625	636
619	624	633	644
620	493	512	502
621	346	355	365
622	176	195	185
623	393	412	402
624	352	361	371
625	82	91	101
626	65	74	84
627	1005	6	1016
628	872	881	892
629	920	929	940
630	874	883	893
631	934	954	944
632	305	314	325
633	585	604	595
634	341	350	361
635	795	804	814
636	308	317	327
637	457	466	476
638	222	242	232
639	169	178	188
640	108	117	127
641	503	512	523
642	957	976	966
643	378	387	397
644	505	514	524
645	639	659	649
646	720	739	729
647	745	754	764
648	82	91	102
649	54	73	63
650	458	478	468
651	386	395	406
652	388	407	397
653	31	40	50
654	96	105	116
655	50	59	70
656	573	592	582
657	880	889	899
658	780	788	799
659	100	109	119
660	811	830	820
661	360	369	379
662	762	781	771
663	621	630	640
664	679	688	698
665	696	705	715
666	1006	1015	8
667	538	547	557
668	486	495	505
669	317	326	336
670	451	470	460
671	263	282	272
672	676	685	696
673	942	951	961
674	836	845	855
675	748	767	757
676	642	651	661
677	682	691	701
678	673	692	683
679	512	531	521
680	327	336	347
681	664	673	686
682	602	611	621
683	46	55	66
684	131	150	140
685	404	424	414
686	106	125	116
687	226	235	245
688	666	686	676
689	310	329	319
690	568	587	577
691	850	869	859
692	963	971	982
693	667	676	686
694	302	321	311
695	673	682	692
696	803	812	822
697	454	463	473
698	1014	20	11
699	647	666	656
700	990	999	1009
701	790	809	800
702	283	292	303
703	223	231	242
704	982	991	1001
705	608	627	617
706	416	435	425
707	400	408	419
708	147	156	167
709	994	1013	1003
710	574	583	593
711	565	574	584
712	561	570	581
713	781	800	790
714	952	961	971
715	291	310	300
716	77	96	86
717	625	645	635
718	424	433	443
719	501	510	520
720	554	563	573
721	534	543	553
722	668	677	687
723	57	76	66
724	969	978	988
725	613	622	633
726	721	740	731
727	9	18	28
728	921	929	940
729	228	237	248
730	407	416	427
731	244	263	253
732	296	305	315
733	227	246	236
734	513	532	522
735	537	546	556
736	516	535	525
737	394	403	414
738	255	274	264
739	920	929	939
740	292	311	301
741	477	486	496
742	127	136	146
743	452	471	461
744	564	573	583
745	926	935	946
746	164	183	173
747	362	381	371
748	727	736	747
749	920	939	929
750	928	947	937
751	52	71	61
752	427	436	446
753	172	181	191
754	529	538	548
755	302	321	311
756	353	372	362
757	302	321	311
758	397	406	416
759	38	47	58
760	98	118	108
761	709	718	728
762	920	929	939
763	910	919	930
764	131	139	150
765	733	742	753
766	392	401	412
767	635	644	654
768	42	51	62
769	344	353	363
770	1011	7	16
771	338	347	357
772	95	104	114
773	329	338	348
774	886	895	906
775	913	922	933
776	329	348	338
777	913	922	932
778	969	978	988
779	80	89	100
780	915	934	924
781	172	181	192
782	837	846	856
783	485	494	505
